Rank,Country,AppleWatch
1,Kuwait,242.9
2,Saudi Arabia,381.48
3,Malaysia,248.43
4,Canada,259.21
5,United Arab Emirates,285.71
6,Qatar,262.93
7,Japan,254.22
8,USA,288.34
9,Australia,256.51
10,Poland,319.61
11,UK,234.56
12,Hong Kong,260.16
13,Spain,326.37
14,Pakistan,319.84
15,Colombia,366.83
16,Germany,338.14
17,Turkey,352.53
18,China,313.54
19,Switzerland,316.94
20,Sweden,318.55
21,Myanmar,415.82
22,Sri Lanka,452.28
23,Panama,340.78
24,Kenya,484.46
25,Netherlands,391.14
26,Egypt,344.91
27,Dominican Republic,486.89
28,Italy,359.34
29,South Korea,284.76
30,Taiwan,272.91
31,Denmark,342.22
32,Romania,452.06
33,France,316.94
34,Hungary,345.34
35,Luxembourg,347.47
36,Thailand,290.3
37,Portugal,369.94
38,Mexico,286.66
39,Slovakia,467.78
40,Chile,340.08
41,Belgium,359.34
42,Austria,338.14
43,Ukraine,358.86
44,Vietnam,305.27
45,Ecuador,341.1
46,South Africa,357.4
47,Ireland,369.94
48,Russia,182
49,Czech Republic,325.64
50,Peru,343.13
51,Norway,350.72
52,New Zealand,298.88
53,Finland,369.94
54,Israel,372.33
55,Greece,369.94
56,India,475.99
57,Uruaguay,505.33
58,Argentina,250.76
59,Nigeria,480.02
60,Belarus,306.34
61,Bulgaria,346.87
62,Costa Rica,467.46
63,Philippines,801.16
64,Bangladesh,486.78
65,Indonesia,374.18
66,Croatia,477.86
67,Singapore,619.97
68,Guatemala,508.51
69,Brazil,383.39
70,Brunei,679.29
71,Angola,430.88
72,Venezuela,48810.16