Rank,Country,MacBook
1,Kuwait,795.38
2,Saudi Arabia,1054.98
3,Malaysia,1010.31
4,Canada,1118.1
5,United Arab Emirates,1073.3
6,Qatar,964.36
7,Japan,1268.35
8,USA,1241.63
9,Australia,1621.74
10,Poland,1372.21
11,UK,1535.89
12,Hong Kong,1244.31
13,Spain,1535.94
14,Pakistan,1048.64
15,Colombia,909.56
16,Germany,1588.94
17,Turkey,1503.13
18,China,1329.73
19,Switzerland,1482.94
20,Sweden,1541.93
21,Myanmar,1039.92
22,Sri Lanka,1208.5
23,Panama,1069.37
24,Kenya,1276.59
25,Netherlands,1375.88
26,Egypt,1732.71
27,Dominican Republic,1465.17
28,Italy,1588.94
29,South Korea,1335.6
30,Taiwan,1285.11
31,Denmark,1212.12
32,Romania,1601.02
33,France,1535.94
34,Hungary,1442.21
35,Luxembourg,1322.86
36,Thailand,1155.55
37,Portugal,1589.61
38,Mexico,1385.53
39,Slovakia,1461.74
40,Chile,1151.18
41,Belgium,1535.94
42,Austria,1542.3
43,Ukraine,1420.59
44,Vietnam,1307.79
45,Ecuador,1486.12
46,South Africa,1214.45
47,Ireland,1588.94
48,Russia,1475.19
49,Czech Republic,1569.61
50,Peru,1198.28
51,Norway,1641.13
52,New Zealand,1392.47
53,Finland,1588.94
54,Israel,1761.93
55,Greece,1716.14
56,India,1542.43
57,Uruaguay,1167.21
58,Argentina,1357.31
59,Nigeria,1746.12
60,Belarus,1695.35
61,Bulgaria,1858.5
62,Costa Rica,1137.7
63,Philippines,1102
64,Bangladesh,1277.81
65,Indonesia,1271.88
66,Croatia,1426.68
67,Singapore,1671.13
68,Guatemala,1525.26
69,Brazil,3390.96
70,Brunei,2326.47
71,Angola,1001.06
72,Venezuela,176005.34