Rank,Country,iPhone
1,Kuwait,641.50
2,Saudi Arabia,513.86
3,Malaysia,532.06
4,Canada,555.25
5,United Arab Emirates,498.25
6,Qatar,608.71
7,Japan,413.58
8,USA,625.88
9,Australia,574.50
10,Poland,615.00
11,UK,542.29
12,Hong Kong,583.89
13,Spain,686.14
14,Pakistan,537.97
15,Colombia,655.11
16,Germany,613.74
17,Turkey,677.32
18,China,470.74
19,Switzerland,556.89
20,Sweden,569.42
21,Myanmar,749.21
22,Sri Lanka,579.77
23,Panama,681.11
24,Kenya,716.97
25,Netherlands,603.14
26,Egypt,814.37
27,Dominican Republic,965.62
28,Italy,613.74
29,South Korea,654.32
30,Taiwan,628.51
31,Denmark,666.41
32,Romania,513.42
33,France,565.36
34,Hungary,558.60
35,Luxembourg,565.36
36,Thailand,551.83
37,Portugal,625.39
38,Mexico,619.98
39,Slovakia,623.62
40,Chile,761.66
41,Belgium,667.78
42,Austria,786.52
43,Ukraine,527.50
44,Vietnam,589.35
45,Ecuador,675.63
46,South Africa,785.79
47,Ireland,667.79
48,Russia,610.18
49,Czech Republic,584.84
50,Peru,826.39
51,Norway,867.28
52,New Zealand,623.36
53,Finland,475.94
54,Israel,599.80
55,Greece,581.94
56,India,505.25
57,Uruaguay,815.94
58,Argentina,900.43
59,Nigeria,816.63
60,Belarus,615.75
61,Bulgaria,677.28
62,Costa Rica,852.94
63,Philippines,781.16
64,Bangladesh,870.11
65,Indonesia,865.06
66,Croatia,621.34
67,Singapore,969.04
68,Guatemala,889.56
69,Brazil,843.30
70,Brunei,764.02
71,Angola,401.94
72,Venezuela,97813.82